Location,ULCS No.,ID,Date Report Issued,Location (Room/Area),,Recommended Corrective Action,Category,Respon-sibility*,Notes,Status,"Date of
Update",Location Closed,Start Date,End Date
"Jenks, A.S. ES",2520,36,12/5/12,Room 106,,Repair the moisture damaged plaster wall.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster wall was observed along the window wall.,open,12/12/12,NO,,
"Jenks, A.S. ES",2520,37,12/5/12,Room 201,,Repair the moisture damaged plaster wall.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster wall was observed along the window wall.,open,12/12/12,NO,,
"Jenks, A.S. ES",2520,38,12/5/12,Room 202,,Repair the moisture damaged plaster wall.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster wall was observed along the window wall.,open,12/12/12,NO,,
"Jenks, A.S. ES",2520,39,12/5/12,Room 203,,Repair the moisture damaged plaster wall.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster wall was observed along the window wall.,open,12/12/12,NO,,
"Jenks, A.S. ES",2520,40,12/5/12,Room 204,,Repair the moisture damaged plaster wall.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster wall was observed along the window wall.,open,12/12/12,NO,,
"Jenks, A.S. ES",2520,41,12/5/12,Room 205,,Repair the moisture damaged plaster wall.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster wall was observed along the window wall.,open,12/12/12,NO,,
"Jenks, A.S. ES",2520,42,12/5/12,Room 206,,Repair the moisture damaged plaster wall.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster wall was observed along the window wall.,open,12/12/12,NO,,
"Jenks, A.S. ES",2520,43,5/15/13,Hallway outside Room 207,,Remove the flaking paint from the ceiling and repaint. All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Flaking paint and water staining was observed on the ceiling.  The B.E. indicated this is an active roof leak.,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,44,5/15/13,North side of Building,,Repair missing and deteriorated pointing on the north side of the building.,Mold/Moisture,M,Moisture damaged plaster walls were observed in the several classrooms located on the north side of the building.  The damage appears to be related to deteriorated pointing. Missing pointing was observed around the windows and behind the window safety screens.,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,45,5/15/13,Room 103,,Repair the moisture damaged plaster wall.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster wall was observed around window #2.  ,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,46,5/15/13,Room 105,,Repair the moisture damaged plaster around the leftmost window.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster wall was observed around the left most window.,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,47,5/15/13,Room 106,,Remove the spalling plaster from around the windows.  Repair the moisture damaged plaster wall.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster wall was observed around the windows.  Sections of the plaster skim coat were spalling from the substrate.,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,48,5/15/13,Room 202,,Repair the moisture damaged plaster wall.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster was observed around the windows.,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,49,5/15/13,Room 202,,Remove the flaking paint from the ceiling and repaint.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Flaking paint and water staining was observed on the ceiling. The B.E. indicated this is not an active roof leak.,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,50,5/15/13,Room 202 Closet,,Remove the flaking paint from the walls and ceiling. All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Flaking paint and water staining was observed on the walls and ceiling in the closet. The teacher and B.E. indicated this does not appear to be a roof leak. ,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,51,5/15/13,Room 203,,Remove the flaking paint from the ceiling and repaint. All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Flaking paint was observed on the ceiling in this classroom.  The B.E. indicated this is not an active roof leak.,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,52,5/15/13,Room 203,,Repair the moisture damaged plaster wall.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster wall was observed around window #1.,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,53,5/15/13,Room 204,,Repair the moisture damaged plaster walls.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster walls were observed around the windows.  ,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,54,5/15/13,Room 205,,Remove the flaking paint from the ceiling and repaint. All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Flaking paint was observed on the ceiling in this classroom.  The B.E. indicated this is an active roof leak.,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,55,5/15/13,Room 205,,Repair the moisture damaged plaster walls.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster walls were observed around the windows.  ,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,56,5/15/13,"Room 205, 206 and the hallway at 207",,Evaluate and repair the roof leaks as needed.,Mold/Moisture,M,Active roof leaks were reported at these locations.,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,57,5/15/13,Room 206,,Remove the flaking paint from the ceiling and repaint. All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Flaking paint and water staining was observed on the ceiling in this classroom.  The B.E. indicated this is an active roof leak.,open,5/15/13,NO,,
"Jenks, A.S. ES",2520,58,5/15/13,Room 206,,Repair the moisture damaged plaster walls.  All work should be completed in accordance with the EPA RRP Rule.,Point Source,M,Moisture damaged plaster walls were observed around the windows.  ,open,5/15/13,NO,,
"Jenks, J.S. ES",6270,1,9/14/2010,Basement,,OPEN WORK ORDER: Test for mold on the walls in the basement on boy’s side (WO # 758601).  Mold/moisture assessment should be performed.,Mold/Moisture,OEMS,An IEQ evaluation was performed by KEM on 3/24/2011.  A site specific dashboard is currently being created. Completed per maintenance on 4/7/2011.,closed,4/14/11,YES,,
"Jenks, J.S. ES",6270,2,9/14/2010,Hallway Closet outside Lunchroom Stairway #2,,OPEN WORK ORDER: Perform Mold/Moisture Assessment in the closet in outer hall outside lunchroom stairway #2 (WO # 645889).  ,Mold/Moisture,OEMS,An IEQ evaluation was performed by KEM on 3/24/2011.  A site specific dashboard is currently being created.,closed,3/24/11,YES,,
"Jenks, J.S. ES",6270,3,3/29/11,Basement Hallway (adjacent to boy's locker room),,Evaluate the exterior pointing adjacent to the boy's locker room and perform repairs as needed.,Exterior,M,Completed per Maintenance on 4/5/2011,closed,4/14/11,YES,,
"Jenks, J.S. ES",6270,4,3/29/11,Basement Hallway (adjacent to boy's locker room),,"Scrape the peeling paint and efflorescence from the brick walls adjacent to the boy's locker room (approximately 35 square feet), utilize lead safe work practices. Repaint the area once completed.",Point Source,M,Completed per Maintenance on 4/5/2011,closed,4/14/11,YES,,
"Jenks, J.S. ES",6270,5,3/29/11,Hallway Closet outside Lunchroom Stairway #2,,Discard damp porous materials from the floor of the closet and employ better housekeeping practices such as removing excess water from the mops and empty mop buckets prior to storing.,Point Source,F,"The closet has been cleaned out, per facilities.",closed,4/13/11,YES,,
"Jenks, J.S. ES",6270,6,3/29/11,Hallway Closet outside Lunchroom Stairway #2,,"Once the paint and efflorescence has been removed, clean any remaining mold growth with a detergent solution. Repaint the walls when all affected areas are wiped clean.",Mold/Moisture,F,Completed per Maintenance on 4/5/2011,closed,4/14/11,YES,,
"Jenks, J.S. ES",6270,7,3/29/11,Hallway Closet outside Lunchroom Stairway #2,,Replace the wooden door exhibiting mold growth with  a vented door.,Mold/Moisture,M,Completed per Maintenance on 4/11/2011.,closed,4/14/11,YES,,
"Jenks, J.S. ES",6270,8,3/29/11,Hallway Closet outside Lunchroom Stairway #2,,"Scrape the peeling paint and efflorescence from the brick walls (approximately 75 square feet), utilize lead safe work practices.",Point Source,M,Completed per Maintenance on 4/5/2011,closed,4/14/11,YES,,
Juniata Park Academy,7150,1,9/27/2010,Rooms 1 to 6,,"Relocate all bookcases, books and other stored items blocking air flow from the classroom unit ventilator diffusers on top of the units and return plenum on the bottom of the units.",Ventilation,M,Work order closed (Need for storage space no environmental issue per Francine Locke).,closed,12/16/10,YES,,
Juniata Park Academy,7150,2,3/12/14,Assistant Principal's Office,,All cabinets and furniture should be removed from this room to allow for drying of the carpeting. ,Mold/Moisture,F,Elevated moisture content measurements were detected on the carpeting. Wooden cabinetry and furniture were sitting on sections of wet carpeting.  ,closed,3/17/14,YES,,
Juniata Park Academy,7150,3,3/12/14,Assistant Principal's Office,,The vinyl base should be removed from the bookcase and holes (1.5”) drilled along the kick plate to allow air circulation and drying underneath. Dehumidifiers and air movers should be used to expedite drying.,Mold/Moisture,F,"Elevated moisture content measurements were detected at the bottom of the built in bookcase in the corner of the room.
",closed,3/17/14,YES,,
Juniata Park Academy,7150,4,3/12/14,Assistant Principal's Office,,The lower 12 inches of the Sheetrock wall and wall insulation should be removed adjacent to the hallway.  Before replacement the wall cavity should be completely dried using dehumidifiers and fans.,Mold/Moisture,M,Elevated moisture content measurements were detected on the lower 12 inches of the Sheetrock wall adjacent to the hallway. ,closed,3/17/14,YES,,
Juniata Park Academy,7150,5,3/12/14,Hallway outside the Principal's and Assistant Principal's Office,,Following removal of the wall sections in the Principal's office and Assistant Principal's office the hallway wall and carpeting should be dried in place using dehumidifiers and air movers.,Mold/Moisture,F,Elevated moisture content was detected on the lower 12 inches of the Sheetrock walls and on the carpeting in the hallway.,closed,3/17/14,YES,,
Juniata Park Academy,7150,6,3/12/14,IMC (adjacent to Workroom),,Removing the Sheetrock walls from the adjacent IMC Workroom as mentioned above will allow this wall to be dried in place.  Dehumidifiers and air movers should be used to expedite drying.,Mold/Moisture,F,Elevated moisture content measurements were detected on the Sheetrock around the perimeter of the Workroom.  ,closed,3/17/14,YES,,
Juniata Park Academy,7150,7,3/12/14,IMC (adjacent to Workroom),,All contents should be moved at least 8 feet from the walls around the IMC Workroom to allow for adequate drying of the carpeting.  Area rugs should be hung up to allow for drying. Dehumidifiers and air movers should be used to expedite drying.,Mold/Moisture,F,Elevated moisture content measurements were detected on the carpeting and area rugs around the perimeter of the Workroom. ,closed,3/17/14,YES,,
Juniata Park Academy,7150,8,3/12/14,IMC (adjacent to Workroom),,The vinyl base should be removed from the bookcases and holes (1.5”) drilled along the kick plate to allow air circulation and drying underneath the bookcases. Dehumidifiers and air movers should be used to expedite drying.,Mold/Moisture,F,Elevated moisture content measurements were detected at the bottom of the built in bookcases. ,closed,3/17/14,YES,,
Juniata Park Academy,7150,9,3/12/14,IMC Workroom,,The vinyl base should be removed from the cabinetry and holes (1.5”) drilled along the kick plate to allow air circulation and drying underneath the cabinets.  Dehumidifiers and air movers should be used to expedite drying. ,Mold/Moisture,F,Elevated moisture content measurements were detected on the bottom of built in cabinetry. ,closed,3/17/14,YES,,
Juniata Park Academy,7150,10,3/12/14,IMC Workroom,, All cabinets and bookcases should be removed from this room to allow for drying of the carpeting. Dehumidifiers and air movers should be used to expedite drying.,Mold/Moisture,F,Elevated moisture content measurements were detected on the carpeting. Metal cabinets and wooden bookcase were sitting on sections of wet carpeting. ,closed,3/17/14,YES,,
Juniata Park Academy,7150,11,3/12/14,IMC Workroom,,Remove the lower 2 feet of the Sheetrock walls and wall insulation  located around the perimeter of the IMC's Workroom.  Before replacement the wall cavity should be completely dried using dehumidifiers and fans.,Mold/Moisture,M,Elevated moisture content measurements were detected on the lower 2 feet of the Sheetrock walls around the perimeter of the room.  Fiberglass wall insulation is presumed to be present in the wall assembly; this will prevent adequate drying of the wall cavity.  ,closed,3/17/14,YES,,
Juniata Park Academy,7150,12,3/12/14,Principal's Office,,All cabinets and furniture should be removed from this room to allow for drying of the carpeting.  Dehumidifiers and air movers should be used to expedite drying.,Mold/Moisture,F,Elevated moisture content measurements were detected on the carpeting. Wooden file cabinets and furniture were sitting on sections of wet carpeting.  ,closed,3/17/14,YES,,
Juniata Park Academy,7150,13,3/12/14,Principal's Office,,The vinyl base should be removed from the bookcase and holes (1.5”) drilled along the kick plate to allow air circulation and drying underneath.,Mold/Moisture,F,Elevated moisture content measurements were detected at the bottom of the built in bookcase in the corner of the room. ,closed,3/17/14,YES,,
Juniata Park Academy,7150,14,3/12/14,Principal's Office,,The Sheetrock wall and wall insulation should be removed from floor to decking along the window wall.  Before replacement the wall cavity should be completely dried using dehumidifiers and fans.,Mold/Moisture,M,Elevated moisture content measurements were detected along the window wall from floor to decking.  Water reportedly ran down this wall from the IMC Workroom.  Fiberglass wall insulation is presumed to be present in the wall assembly; this will prevent adequate drying of the wall cavity and should be replaced.,closed,3/17/14,YES,,
Juniata Park Academy,7150,15,3/12/14,Principal's Office,,The lower 12 inches of the Sheetrock walls and wall insulation should be removed from the perimeter of the room. Before replacement the wall cavity should be completely dried using dehumidifiers and fans.,Mold/Moisture,M,Elevated moisture content measurements were also detected on the lower 12 inches of the Sheetrock walls around the perimeter of the office.  Removing the lower section of the Sheetrock walls will allow the hallway wall to be dried in place.  Fiberglass wall insulation is presumed to be present in the wall assembly; this will prevent adequate drying of the wall cavity and should be replaced.,closed,3/17/14,YES,,
KCAPA,5010,1,5/16/12,Science Wing ,,"The floor drains located in the science wing will require manual priming on a regular basis to prevent the traps from drying out and releasing sewer gas into the occupied space. The PFT Building Representative reported an unusual odor in the science wing located at the north end of the building.  The odor was described as a sewage type odor primarily on the 2nd floor and one room on the 1st floor.   The odor was detected by the occupants about a dozen times this year.  Each odor event lasted on average for ten minutes, the last reported odor was about two weeks ago.  According to the B.E., there doesn't appear to be any variables such as rain, exterior temperature, location of fresh air intakes that corresponds to the odor. The B.E. inspected all piping associated with the science wing heat pumps and did not find any leaks or signs of water staining on the insulation.  On 5/15/2012, Maintenance reported that self-priming traps were not installed on the floor drains in the science wing, resulting in dry traps and the release of sewer gas into the occupied space. ",Point Source,F,,closed,5/16/12,YES,,
KCAPA,5520,2,4/10/12,Main Office Bathroom 163L,,No further Action Required,Mold/Moisture,F,No issues were identified  during the evaluation.  A blockage occurred in the main office bathroom (163L) floor drain.  The B.E. reported that sewage backed up approximately 6-8 inches around the floor drain onto the ceramic tile floor.  The drain was cleared by the plumbing department and facilities cleaned and disinfected the floor. No signs of water staining were observed on the surrounding walls and the moisture content readings were normal.,closed,4/13/12,YES,,
Kearny ES,5480,1,12/19/13,1st Floor Hallway (above custodial closet),,Remove the damaged section of plaster wall.  The impacted area should be repaired and repainted. ,Point Source,M,A section of damaged plaster was observed on the hallway wall located above the custodial closet. Closed 5480-1.,closed,6/3/14,NO,,
Kearny ES,5480,2,12/19/13,2nd Floor Hallway (above custodial closet),,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,Flaking paint was observed on the hallway wall above the custodial closet.  ,closed,12/31/13,NO,,
Kearny ES,5480,3,12/19/13,Cafeteria,,The leaves and trash should be removed from the drain lines located in the light well.,Mold/Moisture,F,Leaves and trash appeared to be obstructing the drain lines in the light wells.,closed,12/31/13,NO,,
Kearny ES,5480,4,12/19/13,Cafeteria Storage Room (unoccupied),,A mold Design Data Collection (DDC) package was issued on 11/26/13 for the remediation of the observed mold growth.,Mold/Moisture,M,Mold growth was observed and a musty odor was detected in this unoccupied cafeteria storage room.  Visible growth was observed on the metal doors and door frame.  Suspect mold growth was observed on the brick walls.,closed,3/17/14,NO,,
Kearny ES,5480,5,12/19/13,Principal's Office,,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,Flaking paint was observed above the windows.,closed,12/31/13,NO,,
Kearny ES,5480,6,12/19/13,Room 101,,Remove the loose section of plaster ceiling located above the window.,Point Source,F,A loose section of plaster ceiling was observed above the window.,closed,12/31/13,NO,,
Kearny ES,5480,7,12/19/13,Room 201,,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,Flaking paint was observed on the back wall of this classroom.,closed,12/31/13,NO,,
Kearny ES,5480,8,12/19/13,Room 202,,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,Flaking paint was observed on the wall behind the metal storage cabinet and along the window wall.,closed,12/31/13,NO,,
Kearny ES,5480,9,12/19/13,Room 203,,Replace the missing suspended ceiling tile.,Point Source,F,A missing ceiling tile was observed in the corner of the room.,closed,12/31/13,NO,,
Kearny ES,5480,10,12/19/13,Room 300,,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,Flaking paint was observed above the window.,closed,12/31/13,NO,,
Kearny ES,5480,11,12/19/13,Room 301,,Remove the efflorescence and flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,Efflorescence and flaking paint was observed next to the windows.,closed,12/31/13,NO,,
Kearny ES,5480,12,12/19/13,Room 302,,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,Flaking paint was observed above the windows.,closed,12/31/13,NO,,
Kearny ES,5480,13,12/19/13,Room 303,,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,Flaking paint was observed above the window.,closed,12/31/13,NO,,
Kearny ES,5480,14,12/19/13,Room 306,,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,Flaking paint was observed on the window wall and below the smart board.,closed,12/31/13,NO,,
Kearny ES,5480,15,12/19/13,Room 308,,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,Flaking paint was observed above the radiator.,closed,12/31/13,NO,,
Kearny ES,5480,16,12/19/13,Room 309,,Remove the efflorescence and flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,Efflorescence and flaking paint was observed in the corner of the room.,closed,12/31/13,NO,,
Kearny ES,5480,17,12/19/13,Room 310,,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,"Flaking paint was observed on the back wall, in the corner of the room and around the window. ",closed,3/26/14,NO,,
Kearny ES,5480,18,12/19/13,Room 315,,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,F,Flaking paint was observed on the window wall at the radiator.,closed,3/26/14,NO,,
Kearny ES,5480,19,4/11/14,Basement Hallway ,,A mold Design Data Collection (DDC) package was issued on 3/13/14 for the remediation.,Mold/Moisture,M,"Mold growth, flaking paint and particulate accumulation was observed in the basement hallway along the north wall.  ",closed,4/11/14,NO,,
Kearny ES,5480,20,12/19/13,3rd Floor Hallway (North Wall),,Remove the efflorescence and flaking paint.  The impacted area should be repaired and repainted.,Point Source,M,Efflorescence and flaking paint was observed on the north wall of the hallway.,open,5/23/14,NO,,
Kearny ES,5480,21,12/19/13,3rd Floor Stairwell (6th Street),,Remove the efflorescence and flaking paint.  The impacted area should be repaired and repainted.,Point Source,M,Efflorescence and flaking paint was observed around the window and on the ceiling.,open,5/23/14,NO,,
Kearny ES,5480,22,12/19/13,Basement Hallway (North Wall),,Remove the efflorescence and flaking paint.  The impacted area should be repaired and repainted.,Point Source,M,Efflorescence and flaking paint was observed on the north wall.,open,5/23/14,NO,,
Kearny ES,5480,23,12/19/13,Basement Hallway (outside B.E. office),,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,M,Flaking paint was observed on the ceiling in the basement hallway outside the B.E. office and the boy's restroom.,open,5/23/14,NO,,
Kearny ES,5480,24,12/19/13,Cafeteria,,Remove the flaking paint.  The impacted area should be repaired and repainted.,Point Source,M,Flaking paint was observed throughout the cafeteria on the walls and ceiling.,open,5/23/14,NO,,
Kearny ES,5480,25,12/19/13,Cafeteria and Storage Room,,Evaluate the drainage system associated with the cafeteria and repair as needed to prevent water intrusion.,Mold/Moisture,M,The B.E. indicated the water pours out of the wall into the cafeteria every time there is a heavy downpour.  The unoccupied storage room in the cafeteria is also impacted by moisture intrusion. Staff reported water shooting out of the cafeteria walls between the mortar joints and flooding in the storage room.  The water runs into the cafeteria and wet/dry vacuums are needed following a heavy downpour.,open,5/23/14,NO,,
Kearny ES,5480,26,12/19/13,Main Entrance,,Remove the efflorescence and flaking paint.  The impacted area should be repaired and repainted.,Point Source,M,Efflorescence and flaking paint was observed on the walls and ceiling in the main entrance.,open,12/19/13,NO,,
Kearny ES,5480,27,12/19/13,Main Office Copy Room,,A 2'x2' return grille should be installed in the suspended ceiling to prevent ceiling tiles from being pulled out of the track. ,Ventilation,M,Two suspended ceiling tiles were missing below the HVAC unit.  The B.E. indicated pressure from the unit's return pulls the ceiling tile out of the suspended track.,open,12/19/13,NO,,
Kearny ES,5480,28,12/19/13,Marshall Street Stairwell,,Remove the efflorescence and flaking paint.  The impacted area should be repaired and repainted.,Point Source,M,Efflorescence and flaking paint was observed throughout this stairwell.,open,5/23/14,NO,,
Kearny ES,5480,29,12/19/13,North Wall ,,The brick pointing on the north wall of the building adjacent to Marshall Street should be evaluated and repaired as needed to prevent moisture intrusion.,Mold/Moisture,M,"Efflorescence and flaking paint was observed in Room 310, the 3rd Floor Hallway, the Marshall Street Stairwell and the Basement Hallway.  These areas are adjacent to this north wall off Marshall Street.  ",open,5/23/14,NO,,
Kearny ES,5480,30,4/11/14,Cafeteria,,An asbestos Design Data Collection (DDC) package was issued on 3/13/14 for the remediation.,Point Source,M,"Damaged sections, open seams and cracked asbestos containing pipe insulation was observed throughout the cafeteria. Removal of the ACPI is scheduled for the summer of 2014. All ACPI was removed from the cafeteria.",closed,7/1/14,NO,,
Kearny ES,5480,31,4/11/14,Cafeteria Storage Room,,An asbestos Design Data Collection (DDC) package was issued on 3/13/14 for the remediation.,Point Source,M,A damaged section of asbestos containing pipe insulation was observed in the cafeteria storage room.  Removal of the ACPI is scheduled for the summer of 2014.,closed,7/1/14,NO,,
Kearny ES,5480,32,6/4/14,Basement Hallway (North Wall),,A mold Design Data Collection (DDC) package was issued on 5/27/14 for the remediation.,Mold/Moisture,M,Mold growth was observed on the painted brick wall located adjacent to the Marshall Street Stairwell. Closed per Maintenance.,closed,7/9/14,NO,,
Kearny ES,5480,33,6/4/14,Cafeteria Storage Room,,A mold Design Data Collection (DDC) package was issued on 5/27/14 for the remediation.,Mold/Moisture,M,A strong musty odor was detected in the north cafeteria storage room. Suspect mold growth was observed on the walls. The staff indicated this room floods and water runs into the cafeteria following a heavy downpour. Closed per Maintenance.,closed,7/9/14,NO,,
Kearny ES,5480,34,6/4/14,Exterior Masonry,,An evaluation of the building's exterior brick pointing should be conducted to determine it's condition.  Repairs should be completed as needed to prevent water intrusion.,Mold/Moisture,M,"The staff indicated that water leaks from above the windows in classrooms 202, 302 and 308",open,6/4/14,NO,,
Kearny ES,5480,35,6/4/14,Room 202,,The flaking paint should be scraped using lead safe work practices.  The area should be repainted following completion.,Point Source,F,Flaking paint was observed above the window. The teacher indicated water leaks from above the window when it rains.,open,6/4/14,NO,,
Kearny ES,5480,36,6/4/14,Room 202,,Remove the paint/plaster debris from the window sill.  The area should be wiped down with a detergent solution.,Point Source,F,Paint/plaster debris was observed on the window sill.,open,6/4/14,NO,,
Kearny ES,5480,37,6/4/14,Room 300,,The flaking paint/efflorescence should be scraped using lead safe work practices. The area should be repainted following completion.,Point Source,F,Flaking paint was observed above the window mounted air conditioner.,open,6/4/14,NO,,
Kearny ES,5480,38,6/4/14,Room 301,,The flaking paint should be scraped using lead safe work practices. The area should be repainted following completion.,Point Source,F,Flaking paint was observed on the Fairmount Street wall and above the 6th Street window.,open,6/4/14,NO,,
Kearny ES,5480,39,6/4/14,Room 301,,Repair the damaged section of plaster wall.,Point Source,M,Damage plaster wall was observed next to the classroom door.,open,6/4/14,NO,,
Kearny ES,5480,40,6/4/14,Room 302,,The flaking paint should be scraped using lead safe work practices.  The area should be repainted following completion.,Point Source,F,Flaking paint was observed above and below the windows. The teacher indicated water leaks from above the when it rains.,open,6/4/14,NO,,
Kearny ES,5480,41,6/4/14,Room 302,,Repair the damaged section of plaster wall.,Point Source,M,Damage plaster wall was observed next to the classroom door.,open,6/4/14,NO,,
Kearny ES,5480,42,6/4/14,Room 303,,The flaking paint/efflorescence should be scraped using lead safe work practices.  The area should be repainted following completion.,Point Source,F,Flaking paint/efflorescence was observed in the corner of the room.,open,6/4/14,NO,,
Kearny ES,5480,43,6/4/14,Room 303,,Remove the paint/plaster debris from the window sill.  The area should be wiped down with a detergent solution.,Point Source,F,Paint/plaster debris was observed on the window sill.,open,6/4/14,NO,,
Kearny ES,5480,44,6/4/14,Room 303,,Remove the paint/plaster debris from the floor.  The area should be wiped down with a detergent solution.,Point Source,F,Paint/plaster debris was observed on the floor in the corner of the room.,open,6/4/14,NO,,
Kearny ES,5480,45,6/4/14,Room 306,,The flaking paint should be scraped using lead safe work practices.  The area should be repainted following completion.,Point Source,F,Flaking paint/efflorescence was observed on the wall next to the classroom door and on the wall next to the window.,open,6/4/14,NO,,
Kearny ES,5480,46,6/4/14,Room 306,,Remove the paint/plaster debris from the floor.  The area should be wiped down with a detergent solution.,Point Source,F,Paint/plaster debris was observed in the corner of the room on the electrical box and floor.,open,6/4/14,NO,,
Kearny ES,5480,47,6/4/14,Room 308,,The flaking paint should be scraped using lead safe work practices.  The area should be repainted following completion.,Point Source,F,Flaking paint was observed behind the radiator and next to the radiator.,open,6/4/14,NO,,
Kearny ES,5480,48,6/4/14,Room 308,,Remove the paint/plaster debris from the floor.  The area should be wiped down with a detergent solution.,Point Source,F,Paint/plaster debris was observed on the floor under the radiator. The teacher indicated that water leaks from above the window when it rains.,open,6/4/14,NO,,
Kearny ES,5480,49,6/4/14,Room 309,,The flaking paint/efflorescence should be scraped using lead safe work practices.  The area should be repainted following completion.,Point Source,F,Flaking paint/efflorescence was observed in the corner of the room.,open,6/4/14,NO,,
Kearny ES,5480,50,6/4/14,Room 310,,The flaking paint/efflorescence should be scraped using lead safe work practices.  The area should be repainted following completion.,Point Source,F,Flaking paint/efflorescence was observed along the Brown Street wall.  The teacher indicated the brick patterned paper was installed to cover the wall damage.,open,6/4/14,NO,,
Kearny ES,5480,51,6/4/14,Room 310,,Remove the paint/plaster debris from the window sill.  The area should be wiped down with a detergent solution.,Point Source,F,Paint/plaster debris was observed on the window sill.,open,6/4/14,NO,,
Kearny ES,5480,52,6/4/14,Room 315,,The flaking paint should be scraped using lead safe work practices.  The area should be repainted following completion.,Point Source,F,Flaking paint was observed under the window sill. ,open,6/4/14,NO,,
Kearny ES,5480,53,6/4/14,Room 315,,Remove the paint/plaster debris from the floor.  The area should be wiped down with a detergent solution.,Point Source,F,Paint/plaster debris was observed on the floor under the radiator. ,open,6/4/14,NO,,
Kearny ES,5480,54,6/4/14,School Yard       (roof drain),,Evaluate the roof drain connection where the PVC section meets the cast iron section and repair as needed. The remaining roof drain connections around the building should also be checked and repaired as needed.,Mold/Moisture,M,"In the school yard, next to the new addition and behind the metal cover, the PVC section of the roof drain is not connected to the cast iron section.",open,6/4/14,NO,,
"Kelley, W.D.",4560,1,10/4/13,Boiler Room Supply Closet,,An asbestos DDC was issued on 10/1/13 for the removal of the assumed saddle block pipe insulation and impacted fiberglass pipe insulation.,Mold/Moisture,M,Mold growth and water staining was observed on the fiberglass pipe insulation.  Asbestos containing saddle block insulation is assumed to be present with the associated pipe hangers.  The source of moisture was from a supply line that was repaired.,closed,10/15/13,NO,,
"Kelley, W.D.",4560,2,10/4/13,Main Lobby,,"Replace the water stained and moldy suspended ceiling tiles. During replacement, inspect above the suspended ceiling for additional building materials that may have been impacted. ",Mold/Moisture,F,Water stained and moldy suspended ceiling tiles were observed in the main lobby. The source of moisture was reportedly from a spill that occurred in custodial closet located on the floor above.,closed,10/15/13,NO,,
"Kelley, W.D.",4560,3,10/4/13,Rooftop Exhaust,,Replace the rooftop exhaust covers located above the main office section of the building and above the room 300 section of the building.,Mold/Moisture,M,Rooftop exhaust covers were missing from the    main office section of the building and from the room 300 section of the building. Water intrusion has been reported in the main office following heavy wind driven rains.,open,10/4/13,NO,,
